Day,Reach,Impressions,Link clicks,Adds to cart,Checkouts initiated,CTR (all),1. Click to PV,2. PV to ATC,3. ATC to Purchase,Amount spent (USD),Purchases,Cost per purchase,Purchases conversion value,Purchase ROAS (return on ad spend),Reporting starts,Reporting ends
2026-03-01,4572,13923,496,4,3,3.49780938,0.61895161,0.01302932,0.5,303.88,2,151.94,241.56,0.79491905,2026-03-01,2026-03-01
2026-03-02,3987,13199,415,40,9,3.11387226,0.68674699,0.14035088,0.15,285.21,6,47.535,652.27,2.28698152,2026-03-02,2026-03-02
2026-03-03,4358,14485,541,21,7,3.56230583,0.64695009,0.06,0.19047619,324.17,4,81.0425,492.52,1.51932628,2026-03-03,2026-03-03
2026-03-04,4630,14903,546,23,8,3.63014158,0.72344322,0.05822785,0.17391304,343.78,4,85.945,549,1.59695154,2026-03-04,2026-03-04
2026-03-05,4440,14870,329,31,14,2.39408204,0.65653495,0.14351852,0.09677419,398.35,3,132.78333333,354,0.88866575,2026-03-05,2026-03-05
2026-03-06,4291,14171,477,28,4,3.33780255,0.73165618,0.08022923,0.10714286,391.38,3,130.46,330.09,0.84340028,2026-03-06,2026-03-06
2026-03-07,4942,14931,404,26,5,2.97367892,0.74257426,0.08666667,0.11538462,354.33,3,118.11,447.12,1.26187452,2026-03-07,2026-03-07
2026-03-08,4218,13976,454,50,14,3.24127075,0.66079295,0.16666667,0.08,376.79,4,94.1975,562.22,1.4921309,2026-03-08,2026-03-08
2026-03-09,4568,14942,342,39,6,2.52308928,0.68421053,0.16666667,0.12820513,372.8,5,74.56,851.51,2.28409335,2026-03-09,2026-03-09
2026-03-10,6716,18211,411,53,19,2.44906924,0.69586375,0.18531469,0.18867925,466.58,10,46.658,1508.37,3.23282181,2026-03-10,2026-03-10
2026-03-11,5521,15619,480,27,6,3.15641206,0.66666667,0.084375,0.18518519,402.02,5,80.404,637.74,1.58633899,2026-03-11,2026-03-11
2026-03-12,13049,23503,810,34,11,3.7739863,0.6345679,0.06614786,0.26470588,430.31,9,47.81222222,1376.74,3.19941438,2026-03-12,2026-03-12
2026-03-13,9876,21178,736,26,8,3.91443951,0.63858696,0.05531915,0.26923077,433.95,7,61.99285714,953.18,2.19652034,2026-03-13,2026-03-13
2026-03-14,13563,29043,811,20,5,3.01277416,0.64611591,0.03816794,0.25,483.03,5,96.606,538.93,1.1157278,2026-03-14,2026-03-14
2026-03-15,11324,22925,995,24,9,4.34460196,0.67035176,0.03598201,0.16666667,491.17,4,122.7925,490.53,0.99869699,2026-03-15,2026-03-15
