Product title,Orders,Gross sales,Discounts,Returns,Net sales,Shipping charges,Duties,Additional fees,Taxes,Total sales
Lion's Mane Liquid Extract: Natural Support for Focus Memory & Clear Thinking,396,44967.3,-10031.55,-1534,33401.75,0,0,0,541.47,33943.22
Premium Cordyceps Mushroom Extract,107,6725.7,-1882.1,-88.5,4755.1,0,0,0,84.86,4839.96
"Immortal" Premium Reishi Mushroom Extract,82,4106.4,-700.9,-88.5,3317,0,0,0,43.62,3360.62
4 Lion's Mane Extracts for the Price of 2 (50% Savings),23,3186,-269,0,2917,0,0,0,38.09,2955.09
"Healer" Mushroom Extract,43,2229.7,-214.17,-29.5,1986.03,0,0,0,29.06,2015.09
"Defend" Premium Chaga Mushroom Extract,41,2111.7,-348.1,-29.5,1734.1,0,0,0,38.02,1772.12
50% Off The Most Potent Lions Mane Extracts on the Market,15,1888,-175.8,-236,1476.2,0,0,0,26.44,1502.64
"Pulse" Premium Shiitake Mushroom Extract,30,1286.2,-194.7,-59,1032.5,0,0,0,18.58,1051.08
Top Sellers Bundle (Lion's Mane Cordyceps and Reishi),9,990,0,-99,891,0,0,0,0,891
+3 Lion's Mane Extracts Special (53% Savings),8,1563,-828.39,0,734.61,0,0,0,15.84,750.45
ALL 6 Premium Mushroom Extracts,3,540,-30,0,510,0,0,0,12.45,522.45
+ 12 Lion's Mane Extracts (New Customer Special),1,348,0,0,348,0,0,0,0,348
Fathers Day Mushroom Extract Bundle,2,295,-7,0,288,0,0,0,0,288
,0,0,0,-787.9,-787.9,1020.65,0,0,15.3,248.05
4 Cordyceps for the Price of 2 (50% Savings),3,472,-236,0,236,0,0,0,7.67,243.67
Eternal Essence - Reishi Mushroom Honey Elixir,4,392,-196,0,196,0,0,0,0,196
Top 5 Mushroom Extracts Bundle,1,150,0,0,150,0,0,0,0,150
+3 Cordyceps Extracts (SAVE 53%),1,177,-93.81,0,83.19,0,0,0,0,83.19
+1 Immortal Reishi Extract (New Customer Special),1,58,0,0,58,0,0,0,0,58
Free Shipping,74,0,0,0,0,0,0,0,0,0
Unlock Mental Clarity Blueprint,63,0,0,0,0,0,0,0,0,0
Mystery Gift (New Product),63,0,0,0,0,0,0,0,0,0
"Pulse" Premium Shiitake Mushroom Extract - GIFT,2,118,-118,0,0,0,0,0,0,0
