Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Bid strategy type,Campaign type,Currency code,Cost,Impr.,Interactions,Interaction rate,Avg. cost,Conversions,Cost / conv.,Conv. rate,Bid strategy,Optimization score,Conv. value / cost,Conv. value,Clicks,Avg. CPC,Campaign ID,Purchase,Results,Results value,Original conv. value
Enabled,INTC | Branded Search | Max Conv,30.00, --,Daily,Eligible,unknown,Maximize Conversions,Search,USD,528.42,"1,262",455,36.05%,1.16,31.00,17.05,6.81%, --,38.20,6.85,"3,621.40",455,1.16,23458707282,32.00,Purchase: 32.00,"Purchase: 3,869.32","3,621.40"
Enabled,INTC | P.Max | All Products,190.00, --,Daily,Eligible (Limited),limited by budget; unknown,Maximize Conversion Value (Target ROAS),Performance Max,USD,2774.63,"373,455","9,300",2.49%,0.30,106.68,26.01,1.15%, --,90.04,4.88,"13,536.86","5,782",0.48,23460895154,106.68,Purchase: 106.68,"Purchase: 13,536.86","13,536.86"
Paused,INTC | NB | Search | Dried Cabbage | US,30.00, --,Daily,Paused,campaign paused; unknown,Maximize Conversions,Search,USD,191.29,218,18,8.26%,10.63,0.00,0.00,0.00%, --, --,0.00,0.00,18,10.63,23574030933,0.00,0,0,0.00
