"New or returning customer","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Average order value"
"Returning",146,37140.09,-4749.85,-18.87,32371.37,799.36,11.17,0,189.77,33371.67,221.338
"New",265,32583.55,-855.52,-85.16,31642.87,1507.43,0,0,119.62,33269.92,119.728
