"New or returning customer","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Average order value"
"Returning",227,61448.15,-8376.2,0,53071.95,1608.59,0,0,316.67,54997.21,233.797
"New",190,21613.13,-2221.64,0,19391.49,1299.35,0,0,26.74,20717.58,102.06
