Name,Sold,Amount,Profit,Id
"Dried Peppers, Mixed (2.25 oz)",3078,10089.16,6272.44,10050
Dried Broccoli Flowerets (2 oz),2622,8689.45,5228.41,10090
Dried Cabbage (1.5 oz),2581,6670.95,4941.68,10120
Dried Spinach Flakes (1 oz),2335,6077.87,4746.92,10140
Dried Vegetable Soup Mix (3 oz),819,3058.59,2043.03,10210
Freeze-Dried Mushroom Dices (1.5 oz.),811,5315.92,3250.72,60272
Dried Celery (1.5 oz),502,1516.96,1135.44,10020
Dried Vegetable Soup Mix (44 oz),406,18712.49,11623.73,10214
"Berry Medley (4 Jars, Quart Size)",349,25439.44,12554.36,50116
Freeze Dried Blueberries (6 oz),339,9939.13,6816.94,50182
Vegetable Sampler (15 ZIP Pouches),317,15458.91,9279.27,19015
"Freeze Dried Strawberries, Sliced (3 oz)",306,7402.59,5315.67,50102
Freeze Dried Raspberries (3.5 oz),303,8622.42,5359.11,50192
Black Beans (25 lbs),301,43153.28,17560.33,12046
Dehydrated Apple Chips (2 oz),295,1033.73,570.58,50222
Dried Vegetable Soup Mix (9 oz),285,5051.17,3443.77,10212
Tomato Powder (6 oz),277,2015.59,1420.04,10110
Mama Mia Italian Vegetable Soup (2 oz),273,1303.35,989.4,94101
Mama Mia Italian Vegetable Soup (4 oz),265,1732.84,1292.04,94055
Deluxe Sampler (32 ZIP Pouches),248,20248.56,11364.56,19031
Freeze Dried Cherries (8 oz),244,7112.94,4504.58,50362
Freeze Dried Bananas (6 oz),240,5928.09,4478.49,50142
"Clear Jug, 1 Gallon Size (1 Count)",214,1035.3,545.24,90300
Organic Dried Kale Flakes (3.15 oz),213,4111.05,3280.35,70322
Dried Broccoli Flowerets (8 oz),210,3980.2,2625.7,10092
Dried Carrots (15 oz),207,3270.91,2286.19,10012
Dried Onions (14 oz),206,3578.64,2464.73,10082
Dried Carrots (4 oz),198,975.66,799.44,10010
Gourmet Soup & Chili Blend Sampler (12 ct),198,7933.35,4528.79,96050
TRAIL-READY Gourmet Soup & Chili Pack (18 ct),198,12056.23,6995.35,96040
Backpacking Kit (18 ZIP Pouches),195,11936.42,7496.27,19040
Verylicious Veggie Chili (5 oz.),193,1240.35,910.96,94065
Organic Dried Red Beet Dices (16.5 oz),190,4640.74,3244.24,70022
Dried Tomato Dices (2 oz),188,921.39,737.15,10150
"Dried Garlic, Gourmet Minced (20 oz)",187,4541.13,2857.82,10272
Freeze Dried Apple Dices (4 oz),186,4515.92,3213.92,50122
"Orchard Fruit Medley (4 Jars, Quart Size)",180,10133.72,5601.86,50112
Dried Onions (4 oz),179,877.17,717.86,10080
Organic Dried Sweet Potatoes (16 oz),178,4244.42,3030.46,70222
Freeze Dried Super Sweet Corn (8 oz),174,3145.93,2086.69,60122
"Dried Peppers, Mixed (36 oz)",171,6439.57,3459.31,10054
Dried Butternut Squash (16 oz),170,3134.36,2277.56,10292
"Dried Peppers, Mixed (10 oz)",170,3060.7,2103.99,10052
