Name,Sold,Amount,Profit,Id
Dried Vegetable Soup Mix (3 oz),2253,11077.03,8283.31,10210
Dried Cabbage (1.5 oz),1052,3722.4,3017.56,10120
Dried Vegetable Soup Mix (44 oz),998,47820.17,30395.09,10214
"Berry Medley (4 Jars, Quart Size)",726,54323.96,32170.73,50116
"Freeze Dried Strawberries, Sliced (3 oz)",725,16652.63,11467.23,50102
Dried Vegetable Soup Mix (9 oz),685,13616.85,9753.45,10212
Old Version Deluxe Sampler (32 ZIP Pouches),649,46617.3,24979.64,19030
Backpacking Kit (18 ZIP Pouches),636,38377.25,23895.53,19040
Freeze Dried Blueberries (6 oz),630,16150.85,10413.35,50182
Vegetable Sampler (15 ZIP Pouches),574,30078.05,19332.77,19015
Tomato Powder (6 oz),566,3581.51,2738.17,10110
Freeze Dried Bananas (6 oz),523,12218.1,9107.12,50142
Mama Mia Italian Vegetable Soup (4 oz),474,1462.77,704.37,94055
Gourmet Soup & Chili Blend Sampler (12 ct),461,20417.3,12718.6,96050
Dried Celery (1.5 oz),459,1921.75,1572.91,10020
Deluxe Sampler (32 ZIP Pouches),429,35008.08,20181.84,19031
Dried Onions (14 oz),423,7080.59,5016.35,10082
Freeze Dried Apple Dices (4 oz),384,9073.81,6348.13,50122
Textured Vegetable Protein Sampler (8 ZIP Pouches),381,8975.99,6164.21,29010
Dried Spinach Flakes (1 oz),379,1546.05,1330.02,10140
TRAIL-READY Gourmet Soup & Chili Pack (18 ct),376,24171.56,14561,96040
Organic Dried Sweet Potatoes (16 oz),372,9152.96,6562.34,70222
Freeze-Dried Mushrooms (1.5 oz.),367,6510.7,4853.96,60262
"Dried Peppers, Mixed (10 oz)",355,5951.21,4027.11,10052
Freeze Dried Cherries (8 oz),351,10259.99,6544.4,50362
Dried Celery (8 oz),350,5210.1,3890.6,10022
"Dried Potatoes, Diced (40 oz)",350,13584.42,9520.92,10034
Black Beans (25 lbs),335,42749.45,17391.85,12046
Freeze Dried Raspberries (3.5 oz),334,7479.04,5142.86,50192
Chorizo Flavored Crumbles (4 oz),331,470.25,69.74,22100
Organic Dried Kale Flakes (3.15 oz),326,6443.84,5172.44,70322
Dried Broccoli Flowerets (2 oz),321,1844.09,1420.37,10090
Dried Carrots (15 oz),314,4609.18,3271.54,10012
Bacon Flavored Bits (3 oz),309,467.29,204.64,22050
Freeze Dried Super Sweet Corn (8 oz),308,5411.46,4060.66,60122
"Dried Garlic, Gourmet Minced (20 oz)",306,6831.22,4003.45,10272
"Dried Mushrooms, Sliced (3 oz)",298,4419.26,3099.12,10132
Dried Broccoli Flowerets (8 oz),291,6251.89,4374.94,10092
Dried Onions (4 oz),290,1430.04,1171.94,10080
Dried Butternut Squash (16 oz),289,5635.09,4178.53,10292
Dried Carrots (4 oz),289,1427.59,1170.38,10010
"Orchard Fruit Medley (4 Jars, Quart Size)",287,20481.03,11979.06,50112
Dried Shallots (8 oz),286,4781.64,3526.1,10242
"Dried Sweet Potatoes, Jar (19.5 oz)",286,5681.78,4025.84,10222
Organic Dried Spinach Flakes (2.75 oz),286,5651.82,4613.64,70142
"Dried Peppers, Mixed (2.25 oz)",285,1407.79,1054.39,10050
Freeze Dried Blackberries (4 oz.),285,6476.12,4395.68,50322
Freeze Dried Pineapple Chunks (6 oz),282,6612.27,4354.35,50172
"Vegetable Pantry Stuffer (16 Varieties, Quart Size)",271,53478.22,31592.26,19016
Dried Tomato Dices (8 oz),263,4688.57,3381.46,10152
Organic Dried Carrots (13.8 oz),257,5095.19,3743.37,70012
"Dried Garlic, Gourmet Minced (6 oz)",254,1759.72,1259.34,10270
"Dried Potatoes, Sliced (24 oz)",237,6295.4,4591.37,10044
Dried Carrots (58 oz),236,8962.65,5984.33,10014
Freeze Dried Green Peas (10 oz.),233,4071.63,2669.53,60182
Soup & Chili Mix Sampler (12 ct),224,9987.47,6667.79,96070
Bean & Legume Sampler (8 ZIP Pouches),223,6238.95,3875.15,19020
Black Beans (16 oz),222,3707.02,2723.56,12042
Tomato Powder (24 oz),219,4964.13,3347.91,10112
"Organic Vegetable Pantry Stuffer (8 Varieties, Quart Size)",212,27435.01,17000.37,79016
Dried Green Beans (8 oz),210,3504.58,2378.98,10072
Dried Tomato Dices (2 oz),207,1024.65,821.79,10150
Dried Spinach Flakes (4 oz),206,3061.78,2460.26,10142
Italian Vegetable Soup Mix - PLAIN (12.5 oz),205,3640.33,2676.83,95102
"Dried Potatoes, Diced (10.5 oz)",202,2984.06,2234.64,10032
"Dried Zucchini, Diced (10 oz)",202,2907.9,2033.24,10262
Freeze Dried Mangoes (4 oz),202,4654.74,3360.84,50162
Dried Chives (2 oz),201,2955.63,2310.42,10232
"Dried Mushrooms, Sliced (14 oz)",197,8675.3,5919.27,10134
BACKPACKING Soup & Chili Kit (18 ct),196,12428.09,7916.17,96030
Creamy Good Corn Chowder (3.25 oz.),194,1337.8,947.86,94060
Dried Broccoli Flowerets (30 oz),192,11225.59,7533.43,10094
Dried Cabbage (6 oz),192,3249.32,2646.44,10122
Mama Mia Italian Vegetable Soup (2 oz),192,872.91,652.11,94101
