Name,Sold,Amount,Profit,Id
Dried Cabbage (1.5 oz),2538,7408.1,5707.64,10120
Dried Vegetable Soup Mix (3 oz),2472,9677.99,6612.71,10210
Dried Spinach Flakes (1 oz),1249,3542.01,2830.08,10140
Garden Veggie Chickenish Soup (2.15 oz),971,4055.46,2929.1,94011
Dried Vegetable Soup Mix (44 oz),744,35565.16,22574.92,10214
Freeze Dried Blueberries (6 oz),663,19533.47,13427.24,50182
"Freeze Dried Strawberries, Sliced (3 oz)",637,15420.92,11076.58,50102
Vegetable Sampler (15 ZIP Pouches),567,29884.91,19270.67,19015
Dried Leeks (.5 oz),546,1550.9,1266.98,10170
Freeze Dried Apple Dices (4 oz),513,11513.08,7922.08,50122
Beefish Stew Mix - PLAIN (3 oz),465,1500.75,1021.8,95021
Deluxe Sampler (32 ZIP Pouches),449,38707.16,23189.72,19031
"Dried Peppers, Mixed (2.25 oz)",445,1869.79,1317.99,10050
Tomato Powder (6 oz),390,2772.82,2049.82,10110
Dried Vegetable Soup Mix (9 oz),387,6940.07,4757.39,10212
Freeze Dried Bananas (6 oz),372,9187.94,6941.06,50142
Freeze Dried Cherries (8 oz),370,10951.4,6996.1,50362
Dried Onions (14 oz),349,5849.49,4146.37,10082
Gourmet Soup & Chili Blend Sampler (12 ct),336,14442.78,8831.58,96050
Backpacking Kit (18 ZIP Pouches),329,22386.34,14895.01,19040
Freeze Dried Blackberries (4 oz.),328,7802.82,5487.14,50322
Flavored Plant-Based Protein Sampler (6 ZIP Pouches),325,7310.9,4766.15,29020
Dried Broccoli Flowerets (8 oz),322,6141.94,4065.04,10092
Dried Carrots (15 oz),316,4683.86,3337.7,10012
"Dried Garlic, Gourmet Minced (20 oz)",315,7386.59,4668.77,10272
"Dried Potatoes, Sliced (24 oz)",313,6169.17,3918.7,10044
Organic Dried Kale Flakes (3.15 oz),302,5859.34,4681.54,70322
"Dried Potatoes, Diced (40 oz)",298,11706.84,8247.06,10034
Dried Celery (1.5 oz),297,1033.37,807.65,10020
Organic Dried Sweet Potatoes (16 oz),296,7114.93,5096.21,70222
Freeze Dried Super Sweet Corn (8 oz),294,5173.51,3474.13,60122
Black Beans (25 lbs),287,40902.3,17566.33,12046
Dried Celery (8 oz),287,4281.67,3199.68,10022
Freeze-Dried Mushrooms (1.5 oz.),282,5241.77,3899.45,60262
Dried Broccoli Flowerets (2 oz),280,1370.18,1000.58,10090
"Dried Mushrooms, Sliced (3 oz)",278,4151.62,2920.08,10132
Value Soup Variety Pack (12 Bags),278,18808.75,12064.47,96020
Dried Carrots (58 oz),275,10514.69,7046.88,10014
Freeze Dried Pineapple Chunks (6 oz),272,6606.13,4174.45,50172
Freeze Dried Apricots (2.5 oz),270,6309.03,4059.93,50262
Freeze Dried Peach Dices (2 oz),268,6590.02,5014.18,50282
"Organic Vegetable Pantry Stuffer (8 Varieties, Quart Size)",267,34388.32,21246.58,79016
Freeze Dried Green Peas (10 oz.),261,4579.68,3013.68,60182
"Dried Potatoes, Diced (10.5 oz)",258,3321.92,2364.74,10032
Dried Butternut Squash (16 oz),256,5047.4,3757.16,10292
"Dried Peppers, Mixed (36 oz)",249,9448.06,5180.05,10054
Dried Shallots (8 oz),247,4161.25,3076.92,10242
Dried Cabbage (24 oz),243,7237.5,5120.97,10124
Dried Onions (4 oz),243,1199.89,983.62,10080
TRAIL-READY Gourmet Soup & Chili Pack (18 ct),242,16387.16,10201.64,96040
Dried Broccoli Flowerets (30 oz),241,11605.82,6971.39,10094
Freeze Dried Mangoes (4 oz),239,5867.72,4311.83,50162
Dried Carrots (4 oz),238,1172.18,960.36,10010
"Dried Sweet Potatoes, Jar (19.5 oz)",237,4722.15,3349.92,10222
"Orchard Fruit Medley (4 Jars, Quart Size)",236,18269.04,13199.5,50112
"Dried Peppers, Mixed (10 oz)",230,4060.54,2813.94,10052
Mama Mia Italian Vegetable Soup (2 oz),223,1054.51,798.06,94101
"Dried Zucchini, Diced (10 oz)",212,3494.32,2367.06,10262
Organic Dried Carrots (13.8 oz),212,4423.12,3174.05,70012
Mama Mia Italian Vegetable Soup (4 oz),211,1422.41,1084.81,94055
"Vegetable Pantry Stuffer (16 Varieties, Quart Size)",209,41599.17,24720.33,19016
Dried Onions (58 oz),207,10039.98,6785.94,10084
Organic Dried Red Beet Dices (16.5 oz),207,5142.19,3620.74,70022
Dried Tomato Dices (8 oz),200,3568.48,2574.48,10152
Soup & Chili Mix Pantry Stuffer (12 ct),197,33269.37,22292.53,96060
"Dried Garlic, Gourmet Minced (6 oz)",196,1355.96,969.84,10270
Dried Spinach Flakes (16 oz),195,5768.41,4202.56,10144
Organic Dried Onions (15.75 oz),195,4738.09,3683.14,70082
"Clear Jar, 1 Quart Size (1 Count)",193,559.27,360.48,90200
Freeze Dried Raspberries (3.5 oz),191,5531.75,3474.68,50192
Dried Green Beans (30 oz),187,9145.81,6137.98,10074
Dried Cabbage (6 oz),186,2416.7,1832.66,10122
Dried Chives (2 oz),186,2391,1793.94,10232
Freeze Dried Strawberry Powder (4 Cups / 64 Tbs),183,9101.57,4264.88,50101
Dried Celery (33 oz),182,7021.15,4988.21,10024
"Dried Sweet Potatoes, Jug (64 oz)",182,9676.62,6258.66,10224
Organic Dried Spinach Flakes (2.75 oz),182,3586.98,2926.32,70142
Dried Green Beans (8 oz),179,3198.81,2227.96,10072
Black Beans (16 oz),176,2295.32,1515.64,12042
"Clear Jug, 1 Gallon Size (1 Count)",175,848.97,448.22,90300
Black Bean Flakes (2.5 oz),174,341.32,209.08,12000
"Deluxe Fruit Assortment (12 Jars, Quart Size)",174,43043.85,26449.47,50124
Dried Tomato Dices (32 oz),174,7513.31,4875.37,10154
Hearty Texas Beefish Stew (2.4 oz),173,698.35,457.88,94021
Dried Spinach Flakes (4 oz),170,2207.74,1711.34,10142
Dried Jalapeno Dices (1.5 oz),165,650.39,465.59,10160
Pinto Bean Flakes (3 oz),165,326.17,184.27,12200
