Name,Sold,Amount,Profit,Id
Dried Broccoli Flowerets (2 oz),489,2058.8,1394.29,10090
Dried Cabbage (1.5 oz),459,1285.05,944.07,10120
Pinto Bean Flakes (12 oz),439,815.85,-1497.68,12202
"Dried Peppers, Mixed (2.25 oz)",380,1687.44,1197.32,10050
Dried Vegetable Soup Mix (3 oz),344,1496.02,1032.74,10210
Organic Freeze-Dried Blueberries (5.5 oz),329,8651.65,4170.67,70182
Dried Vegetable Soup Mix (44 oz),285,13948.09,8588.32,10214
Freeze Dried Apple Dices (4 oz),246,5501.58,3344.16,50122
Organic Dried Kale Flakes (3.15 oz),243,4363.41,3249.88,70322
Black Beans (25 lbs),215,31347.8,11827.95,12046
Freeze Dried Bananas (6 oz),215,3608.4,1985.15,50142
"Freeze Dried Strawberries, Sliced (3 oz)",215,5036.79,3340.44,50102
Potato Starch (5 lbs),204,11066.99,7033.91,30034
Organic Freeze-Dried Raspberries (3 oz),201,5337.64,3476.49,70192
Dried Cabbage (26 lb),197,41851.67,16397.71,10128
Dried Butternut Squash (16 oz),191,3700.03,2478.67,10292
Vegetable Sampler (15 ZIP Pouches),191,10774.03,6377.14,19015
Freeze Dried Cherries (8 oz),188,4903.83,2710.6,50362
Dried Vegetable Soup Mix (9 oz),186,3416.7,2323.98,10212
Dried Carrots (4 oz),184,983.24,784.2,10010
Freeze Dried Raspberries (3.5 oz),178,4311.85,2202.55,50192
Backpacking Kit (18 ZIP Pouches),177,11684.06,7507.03,19040
Freeze Dried Blueberries (6 oz),175,4230.34,2188.09,50182
Organic Freeze-Dried Mangoes (6.25 oz),169,4346.76,2814.06,70162
"Dried Mushrooms, Sliced (3 oz)",167,2356.25,1272.48,10132
"Berry Medley (4 Jars, Quart Size)",165,13317.46,6832.96,50116
Mama Mia Italian Vegetable Soup (4 oz),159,1134.95,824.9,94055
Tomato Powder (6 oz),157,1340.29,972.53,10110
Dried Onions (14 oz),151,3114.45,2052.7,10082
Dried Onions (4 oz),151,845.37,676.98,10080
Dehydrated Apple Chips (2 oz),144,694.38,463.98,50222
Organic Dried Pumpkin Dices (13 oz),142,3644.32,2264.84,70032
Organic Dried Sweet Potatoes (16 oz),142,4093.66,2766.36,70222
Dried Shallots (8 oz),141,2771.07,1846.69,10242
Organic Freeze-Dried Banana Dices (6 oz),138,3264.27,2165.79,70102
Great Northern Beans (25 lbs),137,19644.65,7137.92,12066
Dried Celery (1.5 oz),135,530.89,414.37,10020
"Dried Peppers, Mixed (36 oz)",135,6245.06,3502.49,10054
Freeze Dried Green Peas (10 oz.),135,1728.96,690.27,60182
Freeze Dried Peach Dices (2 oz),134,2585.1,1739.56,50282
Deluxe Sampler (32 ZIP Pouches),133,12382.36,6647.32,19031
Dried Broccoli Flowerets (8 oz),133,2746.77,1856.58,10092
Dried Spinach Flakes (1 oz),130,512.32,418.75,10140
Gourmet Soup & Chili Blend Sampler (12 ct),129,6140.21,3424.41,96050
TRAIL-READY Gourmet Soup & Chili Pack (18 ct),128,8550.49,5225.13,96040
Freeze-Dried Mushrooms (1.5 oz.),127,2475.65,1811.4,60262
Dried Carrots (58 oz),125,5571.78,3115.18,10014
Dried Jalapeno Dices (1.5 oz),125,541.75,400.73,10160
