ï»¿(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B083XNTDRX,B083XNTDRX,"Endura Radio Speaker Microphone, ESM-27-HA3, Shoulder Mic, Compatible with Harris XG-15P XG-25P XG-75P P5300 P5400 P5500 P7300 XR-AE6A XR-AE6C",24,0,0.02%,0.00%,28,0,0.02%,0.00%,100.00%,0.00%,1,0,4.17%,0.00%,$92.98,$0.00,1,0
B083XQ69K4,B083XQ69K4,"Radio Earpiece, 1-Wire Lapel Mic, Pryme LMC-1EH03 Earhook, Compatible with CP185 CP200 CP200D CLS DTR Mag One BPR40 Bearcom BC95 BC130 BC250D PMLN6530A PMLN6535A PMLN6534A",4,1,0.00%,0.03%,9,2,0.01%,0.04%,100.00%,100.00%,3,3,75.00%,300.00%,$75.00,$75.00,1,1
B0842YJDYJ,B0842YJDYJ,"Earpiece, 2-Pin 1-Wire, Pryme SPM-1203 Lapel Mic, D Ring, Compatible with CP185 CP200 CP200D CLS DTR Mag One BPR40 Bearcom BC95 BC130 BC250D PMLN6530A PMLN6535A PMLN6534A",8,2,0.01%,0.05%,10,2,0.01%,0.04%,100.00%,100.00%,5,5,62.50%,250.00%,$135.00,$135.00,1,1
B0844KVTNL,B0844KVTNL,"Pryme LMC-1GH-83 Radio Earpiece, Lapel Mic, 1-Wire Surveillance Microphone, Compatible with Motorola APX 900 APX 4000 APX 6000 APX 7000 and APX 8000 PMLN6129A",3,1,0.00%,0.03%,3,1,0.00%,0.02%,100.00%,100.00%,6,6,200.00%,600.00%,$287.28,$287.28,1,1
B0856RY41X,B0856RY41X,"Radio Earpiece, ARC T21095 1-Wire Acoustic Tube Lapel Mic, Compatible with Motorola Wave TLK 100 SL300 SL7550 SL4000 SL4010 SL500 PMLN7156A PMLN7158A PMLN7157A PMLN7159A PMLN7189A",84,6,0.07%,0.16%,88,6,0.05%,0.12%,100.00%,100.00%,1,0,1.19%,0.00%,$67.83,$0.00,1,0
B086PZMGSJ,B086PZMGSJ,Klein Electronics Comfit-M7 Single-Wire Noise Canceling Boom Microphone with Flat PTT | Compatible with Motorola Radio Models Only (Works with M7 Connector pin),4,0,0.00%,0.00%,6,0,0.00%,0.00%,83.33%,0.00%,1,0,25.00%,0.00%,$85.95,$0.00,1,0
B086VR86HF,B086VR86HF,Klein Electronics Comfit-Cell Single-Wire Noise Canceling Boom Microphone for Cellular Phones with in-line PTT | 3.5mm Connector for Cellular Phones,9,1,0.01%,0.03%,12,3,0.01%,0.06%,100.00%,100.00%,1,1,11.11%,100.00%,$75.95,$75.95,1,1
B087748BC5,B087748BC5,Klein Electronics Star M9 Single-Wire Earpiece with Surveillance Style Acoustic Tube for Motorola Compatible Models (Works with M9 Connector pin) | Clear Quick-Disconnect Audio Tube and Clothing Clip,163,3,0.13%,0.08%,190,3,0.11%,0.06%,98.33%,100.00%,1,0,0.61%,0.00%,$60.95,$0.00,1,0
B087JK4SWL,B087JK4SWL,Klein Electronics Bodyguard S6-WP Split-Wire Surveillance Earpiece Kit with Built-in Microphone for Icom Compatible Radio Models (Works with S6-WP Connector pin),11,1,0.01%,0.03%,15,2,0.01%,0.04%,92.86%,100.00%,2,0,18.18%,0.00%,$71.92,$0.00,1,0
B087N7XZFB,B087N7XZFB,"Radio Shoulder Speaker Mic by Endura, ESM-28-TA1, Compatible with Harris Tait TP3300 TP3350 TP7110 TP8110 TP8115 TP8120 TP8135 TP8140 TP9355 TP9360 TP9435 TP9440 TP9455 and TP9460",7,1,0.01%,0.03%,7,1,0.00%,0.02%,100.00%,100.00%,5,5,71.43%,500.00%,$358.60,$358.60,1,1
B087V7L2RY,B087V7L2RY,Klein Electronics Director-K2 Two-Wire Surveillance Earpiece Kit with Clear Quick-Disconnect Audio Tube for Kenwood Compatible Radio Models (Works with K2 Connector pin),6,3,0.00%,0.08%,7,3,0.00%,0.06%,100.00%,100.00%,1,0,16.67%,0.00%,$100.95,$0.00,1,0
B0881Z9X8V,B0881Z9X8V,"Earphone Connection Radio Earpiece for Police, Hawk Lapel Mic EP1334, Compatible With Motorola APX 1000 3000 4000 6000 7000 8000 XPR 6350 6550 7350 7550 SRX 2200",126,1,0.10%,0.03%,153,1,0.09%,0.02%,99.28%,100.00%,1,0,0.79%,0.00%,$85.88,$0.00,1,0
B088C55N42,B088C55N42,"Radio Earpiece, 2.5mm Fox Listen Only EP1069SCST by Earphone Connection, Short Acoustic Tube Privacy Headset, Compatible with Shoulder Speaker Microphones, Includes Exclusive Accessory Pack",7,0,0.01%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,$45.80,$0.00,1,0
B088P3TN8W,B088P3TN8W,Klein Electronics Bravo-M7 Professional Series Waterproof Shoulder Speaker Mic for Motorola Radio Models | IP56 Waterproof Compliant | Excellent Sound Quality | Works with M7 Connector pin,19,1,0.01%,0.03%,33,1,0.02%,0.02%,80.65%,100.00%,2,2,10.53%,200.00%,$161.90,$161.90,1,1
B0892SSGR1,B0892SSGR1,Earpieces Adjustable D-Ring Headset Microphone Compatible with Kenwood NX-P500 Two Way Radios,5,3,0.00%,0.08%,6,4,0.00%,0.08%,100.00%,100.00%,6,6,120.00%,200.00%,$239.76,$239.76,1,1
B089B59DGH,B089B59DGH,Klein Electronics Veteran-M8 Amplified Compact Speaker Mic for The Motorola TLK100 & SL Series Radios | Battery Powered Amplifier (Works with M8 Connector pin),24,5,0.02%,0.14%,32,9,0.02%,0.19%,3.23%,11.11%,10,10,41.67%,200.00%,$699.50,$699.50,1,1
B089BVTGZ5,B089BVTGZ5,Klein Electronics K-Cord Connector Cable Assembly for Cellular Phones | Replacement Connector Cable for Dual-Muff and Single-Muff High-Noise Headsets,4,1,0.00%,0.03%,5,1,0.00%,0.02%,100.00%,100.00%,1,0,25.00%,0.00%,$42.95,$0.00,1,0
B08SPXDVCB,B08SPXDVCB,"SHEEPDOG MICROPHONES SD27-HA4 Police Remote Shoulder Speaker Microphone, Compatible with Harris Unity XG-100 XG-100P XL-150P XL-185P XL-185Pi XL-200P and XL-200Pi Two Way Radios",1,0,0.00%,0.00%,5,0,0.00%,0.00%,40.00%,0.00%,1,0,100.00%,0.00%,$112.40,$0.00,1,0
B08T4Q3GZL,B08T4Q3GZL,"Sheepdog SD28-TA1 Police Remote Shoulder Speaker Microphone, Compatible with Harris Tait TP8100 TP8110 TP8115 TP9300 TP9310 TP9355 TP9400 TP9435 and TP9440 Two Way Radios",19,1,0.01%,0.03%,25,1,0.01%,0.02%,95.00%,100.00%,1,0,5.26%,0.00%,$82.40,$0.00,1,0
B08Z7CNTRG,B08Z7CNTRG,"Pryme LMC-1EH01 Pro-Grade 1-Wire Earhook Earpiece Headset with Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 NX-P1300",4,1,0.00%,0.03%,4,1,0.00%,0.02%,100.00%,100.00%,12,12,300.00%,"1,200.00%",$300.00,$300.00,1,1
B08Z7KHYMN,B08Z7KHYMN,"Pryme LMC-1AT-03 Pro-Grade 1-Wire Acoustic Tube Earpiece Headset with Mic, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D",13,1,0.01%,0.03%,30,1,0.02%,0.02%,100.00%,0.00%,1,0,7.69%,0.00%,$25.00,$0.00,1,0
B092H9RLMM,B092H9RLMM,"Pryme SPM-2283 Trooper 2 Waterproof and Noise Cancelling Shoulder Speaker Microphone for Motorola APX Series Two Way Radios, APX 4000 APX 6000 APX 7000 and APX 8000",13,0,0.01%,0.00%,16,0,0.01%,0.00%,100.00%,0.00%,1,0,7.69%,0.00%,$80.00,$0.00,1,0
B09BT6YJS7,B09BT6YJS7,"Klein Electronics Patriot Braided Cable 2-Wire Acoustic Tube Earpiece and Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",12,0,0.01%,0.00%,19,0,0.01%,0.00%,100.00%,0.00%,1,0,8.33%,0.00%,$70.95,$0.00,1,0
B09BTKG7TM,B09BTKG7TM,"Klein Electronics Signal Braided Cable 1-Wire Acoustic Tube Earpiece and Mic, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",5,3,0.00%,0.08%,9,4,0.01%,0.08%,100.00%,100.00%,1,0,20.00%,0.00%,$40.95,$0.00,1,0
B09BTP8849,B09BTP8849,"Klein Electronics Titan Extreme High-Noise Dual-Muff Headset with FlexBoom Microphone and Carbon Fiber Earshells, Compatible with Klein K-Cord",36,3,0.03%,0.08%,43,3,0.03%,0.06%,95.00%,100.00%,1,0,2.78%,0.00%,$298.95,$0.00,1,0
B09BTTSDHM,B09BTTSDHM,"Klein Electronics Director 2-Wire Acoustic Tube Earpiece and Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",7,0,0.01%,0.00%,10,0,0.01%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,$69.95,$0.00,1,0
B09HSSZ77P,B09HSSZ77P,"Klein Electronics Director-M9 2-Wire Acoustic Tube Earpiece and Microphone, Compatible with Motorola XPR 3300e XPR 3500e XPR3300 XPR3500 Two Way Radios",13,3,0.01%,0.08%,14,3,0.01%,0.06%,100.00%,100.00%,8,8,61.54%,266.67%,$719.60,$719.60,1,1
B09HSSZJCP,B09HSSZJCP,"Klein Electronics K-Cord-M7 Headset Cable, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",19,3,0.01%,0.08%,25,3,0.01%,0.06%,100.00%,100.00%,1,0,5.26%,0.00%,$63.96,$0.00,1,0
B09KSYJNRX,B09KSYJNRX,Power Products EC1M-BK3 Single Unit in-Vehicle Car Charger for Bendix King BKR5000 Two Way Radios - Charges Li-Ion and LiPo Batteries,2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$110.00,$0.00,1,0
B09KTCCYMQ,B09KTCCYMQ,Power Products EC12M-BK3 Dual Pod Desktop/in-Vehicle 12 Slot Charger for Bendix King BKR5000 Radios - Charges Li-Ion and LiPo Batteries - in-Vehicle Installation Requires Separately Sold Accessories,18,7,0.01%,0.19%,25,9,0.01%,0.19%,100.00%,100.00%,1,1,5.56%,14.29%,$699.95,$699.95,1,1
B09XZD6PNQ,B09XZD6PNQ,Pryme RA-C101199-TC Earphone Replacement Acoustic Tube Kit for Two Way Radio Surveillance Earpieces,22,3,0.02%,0.08%,50,4,0.03%,0.08%,100.00%,100.00%,1,0,4.55%,0.00%,$12.15,$0.00,1,0
B09Z5NT95R,B09Z5NT95R,"Pryme PTT-1 Optional Finger PTT Switch with 2.5mm Plug - Fits Patriot, NEP. and BT (Mobile Radio) Adapter Series",63,3,0.05%,0.08%,81,4,0.05%,0.08%,98.59%,100.00%,1,0,1.59%,0.00%,$23.00,$0.00,1,0
B0B7ZL6K6J,B0B7ZL6K6J,Pryme PA-527 Quick Disconnect Adapter for Harris Jaguar 700P P5100 P5200 P7100 P7200 SPD2000,5,0,0.00%,0.00%,6,0,0.00%,0.00%,83.33%,0.00%,1,0,20.00%,0.00%,$70.00,$0.00,1,0
B0B81267VZ,B0B81267VZ,Pryme PA-530s Quick Disconnect Adapter for Icom F3001 F4001 F3011 F4011 F3021 F4021 F3021S F4021S,8,0,0.01%,0.00%,15,0,0.01%,0.00%,100.00%,0.00%,1,0,12.50%,0.00%,$35.00,$0.00,1,0
B0B812QDV8,B0B812QDV8,Pryme PA-530 Quick Disconnect Adapter for Icom IP-100H F3001 F4001 F3011 F4011 F3021 F4021 F3021S F4021S,2,2,0.00%,0.05%,3,3,0.00%,0.06%,100.00%,0.00%,1,0,50.00%,0.00%,$35.00,$0.00,1,0
B0B84LJBX9,B0B84LJBX9,Pryme SPM-1411 Tactical Headset with Boom Mic for Kenwood Multi-Pin NX200 NX300 NX305 NX3300 NX410 NX5200 NX5300 NX5400 Series,24,1,0.02%,0.03%,29,1,0.02%,0.02%,96.00%,100.00%,1,0,4.17%,0.00%,$75.00,$0.00,1,0
B0BDTNJMKL,B0BDTNJMKL,"Pryme MC-2101 Replacement Cable for Trooper SPM-2100 Series Speaker Mic, Compatible with Kenwood 2-Pin NX1200 NX1300 NC3220 NX3320 NX3420 NX-P1300 NX-P1302 Series",3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,$35.00,$0.00,1,0
B0BR65XL4N,B0BR65XL4N,SHEEPDOG MICROPHONES Quick Disconnect Speaker Mic for Harris XG100P XL150P XL185 XL200P Radios,62,2,0.05%,0.05%,80,3,0.05%,0.06%,100.00%,100.00%,1,1,1.61%,50.00%,$116.00,$116.00,1,1
B0BR672PV5,B0BR672PV5,SHEEPDOG MICROPHONES Noise-Cancelling QD Mic for Harris XG15 XG25 XG75 XL45P XL95P P5300 P5400 P5500 P7300,63,1,0.05%,0.03%,75,1,0.04%,0.02%,100.00%,100.00%,1,0,1.59%,0.00%,$120.00,$0.00,1,0
B0BR68QLWY,B0BR68QLWY,SHEEPDOG MICROPHONES Quick Disconnect Speaker Mic for Kenwood TK and NX Series Radios,49,1,0.04%,0.03%,66,3,0.04%,0.06%,98.18%,100.00%,1,0,2.04%,0.00%,$116.00,$0.00,1,0
B0C5S45V8H,B0C5S45V8H,"Sheepdog Extreme Heavy Duty Speaker Microphone, Compatible with Motorola EX500 EX600",9,0,0.01%,0.00%,16,0,0.01%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,$83.00,$0.00,1,0
B0C5S8YJ6K,B0C5S8YJ6K,"SHEEPDOG MICROPHONES Acoustic Tube Earpiece Mic, Compatible with Motorola 2-Pin CP100D CP200D BPR40 CLS DTR DLR, Commercial-Grade",5,0,0.00%,0.00%,10,0,0.01%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$24.00,$0.00,1,0
B0C5S9CYVC,B0C5S9CYVC,"SHEEPDOG MICROPHONES Acoustic Tube Earpiece Mic, Compatible with Kenwood NX-P500 ProTalk, Commercial-Grade",14,1,0.01%,0.03%,17,3,0.01%,0.06%,100.00%,0.00%,5,0,35.71%,0.00%,$140.00,$0.00,1,0
B0C5WWFDWS,B0C5WWFDWS,"Sheepdog Compact Speaker Microphone, Compatible with Kenwood NX and TK Multi-Pin, 3.5mm Earpiece Port",6,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,1,0,16.67%,0.00%,$48.00,$0.00,1,0
B0C5WWVZ1W,B0C5WWVZ1W,"SHEEPDOG MICROPHONES Compact Speaker Microphone, Compatible with Motorola Vertex EVX-S24, 3.5mm Earpiece Port",8,4,0.01%,0.11%,9,5,0.01%,0.10%,100.00%,100.00%,1,1,12.50%,25.00%,$28.31,$28.31,1,1
B0C5WXYQY8,B0C5WXYQY8,"SHEEPDOG MICROPHONES PRO Speaker Microphone, Compatible with Kenwood 2-Pin NX and TK, 3.5mm Earpiece Port",7,0,0.01%,0.00%,10,0,0.01%,0.00%,90.00%,0.00%,1,0,14.29%,0.00%,$52.00,$0.00,1,0
B0C5Y47T36,B0C5Y47T36,"SHEEPDOG MICROPHONES Extreme Noise Cancelling Heavy Duty Speaker Microphone, Compatible with Motorola XPR7550 APX6000 APX7000 APX8000",145,12,0.11%,0.33%,164,16,0.10%,0.33%,100.00%,100.00%,1,0,0.69%,0.00%,$83.00,$0.00,1,0
B0C5Z2XD76,B0C5Z2XD76,"SHEEPDOG MICROPHONES Swivel Earloop Earpiece Microphone, Compatible with Motorola CLP1010e CLP1080e, Commercial-Grade",4,1,0.00%,0.03%,4,1,0.00%,0.02%,50.00%,100.00%,1,1,25.00%,100.00%,$23.00,$23.00,1,1
B0C5ZCSHLN,B0C5ZCSHLN,"SHEEPDOG MICROPHONES D-Ring Earpiece Microphone, Compatible with Motorola SL300 SL7550 SL7580 SL7590 Series/Wave TLK100, Commercial-Grade",6,1,0.00%,0.03%,11,2,0.01%,0.04%,100.00%,100.00%,2,2,33.33%,200.00%,$44.62,$44.62,1,1
B0C5ZL7Q8J,B0C5ZL7Q8J,"SHEEPDOG MICROPHONES D-Ring Earpiece Microphone, Compatible with Kenwood Multi-Pin NX and TK, Commercial-Grade",5,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$42.00,$0.00,1,0
B0C67DT74D,B0C67DT74D,"SHEEPDOG MICROPHONES 2-Wire Surveillance Earpiece Microphone, Security Headset, Compatible with Kenwood 2-Pin NX and TK",20,0,0.02%,0.00%,21,0,0.01%,0.00%,100.00%,0.00%,1,0,5.00%,0.00%,$58.00,$0.00,1,0
B0C95G47J8,B0C95G47J8,"Klein TEAM6 Rapid Multi-Unit Charger (MUC), 6-Slots, Compatible with Motorola CP100D CP185 Radios, Includes Wall and Vehicle Charger Cords",58,4,0.05%,0.11%,71,5,0.04%,0.10%,95.52%,100.00%,2,0,3.45%,0.00%,$679.90,$0.00,1,0
B0CQTV68PF,B0CQTV68PF,"Sheepdog Sierra Speaker Microphone, Quick Disconnect (QD), Compatible with Harris XG100P, XL185P, XL200P, XL150P, XL Extreme 400P",79,4,0.06%,0.11%,93,7,0.05%,0.15%,97.78%,0.00%,1,0,1.27%,0.00%,$92.00,$0.00,1,0
B0CSF9DRMB,B0CSF4W9TP,"AWARE Micro Speaker, Covert Listen Only Earpiece, Clear (2.5mm Connector, 12"" Cable)",7,0,0.01%,0.00%,8,0,0.00%,0.00%,90.00%,0.00%,1,0,14.29%,0.00%,$90.00,$0.00,1,0
B0CSF9DRMB,B0CSF5DLM1,"AWARE Micro Speaker, Covert Listen Only Earpiece, Clear (3.5mm Connector, 12"" Cable)",21,0,0.02%,0.00%,24,0,0.01%,0.00%,95.00%,0.00%,1,0,4.76%,0.00%,$90.00,$0.00,1,0
B004IMBRQC,B004IMBRQC,"Earhook Listen Only Earpiece, Black",5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B004IMDTCW,B004IMDTCW,"Hawk Lapel Mic EP1323 Police Earpiece HT1000, JT1000, MT2000, MTS2000, MTX838, MTX900, XTS1500, XTS5000, XTS30000, XTS3500, XTS5000, XTS3000, PR1500, PM1500, JEDI (NON QUICK RELEASE VERSION)",134,1,0.10%,0.03%,160,1,0.09%,0.02%,99.32%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B004IMFRHW,B004IMFRHW,"Earphone Connection Long Tube Listen Only Earpiece,Black (EP1089SC)",90,6,0.07%,0.16%,126,13,0.07%,0.27%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B004IMFSDA,B004IMFSDA,E Phone Connection Falcon Lapel Micorphone Without Quick Release Adapter (EP305QR),2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B004IMHN7E,B004IMHN7E,EAR PHONE CONNECTION Fox 3.5mm Threaded Surveillance Earphone with Clear Short Tube (EP1013XCST) rt Tube (EP1013XCST),12,2,0.01%,0.05%,15,5,0.01%,0.10%,23.08%,75.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B005OT30PE,B005OT30PE,Maxon TecNet ACC-206 Battery for SP-200 Series Two Way Radios,4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0068U5WCW,B0068U5WCW,Pryme BT-523-V2 Bluetooth Dongle Adapter Compatible with Jedi and XTS Radios,146,2,0.11%,0.05%,197,3,0.12%,0.06%,0.58%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B008BINDIY,B008BINDIY,Ear Phone Connection Falcon Lapel Micorphone,6,0,0.00%,0.00%,6,0,0.00%,0.00%,83.33%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00D0SXO48,B00D0SXO48,"Short Tube Listen Only Earpiece, Black",35,1,0.03%,0.03%,44,1,0.03%,0.02%,36.59%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00QH40IUU,B00QH40IUU,Hawk Tactical Police Lapel Headset Mic BPR40 CP150 CP200 CP200XLS CP200D PR400 CT150 CT250 CT450 P1225 GP300 GTX800 GTX900 BPR40 BC130 (NON QUICK RELEASE VERSION),19,0,0.01%,0.00%,23,0,0.01%,0.00%,94.74%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00QQYF8BK,B00QQYF8BK,Pryme BT-522s-V2 Bluetooth Adapter for Vertex Standard Two Pin Series Radios,127,4,0.10%,0.11%,156,6,0.09%,0.12%,99.28%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00QR3L8FK,B00QR3L8FK,Pryme SPM-2105 QD Speaker Microphone,3,0,0.00%,0.00%,3,0,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00QR3LPLM,B00QR3LPLM,Pryme PA-510 Quick Disconnect Adapter for Icom F3061 F4061 F3161 F4161 M88 F50 F60 F70 F80,34,4,0.03%,0.11%,34,4,0.02%,0.08%,97.06%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00QR3M3NQ,B00QR3M3NQ,Pryme PA-533 Quick Disconnect Adapter for Motorola HT750 HT1250 HT1550 MTX8250 MTX8250LS MTX850 MTX9250 MTX950,6,0,0.00%,0.00%,8,0,0.00%,0.00%,62.50%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00QR3M5FW,B00QR3M5FW,Pryme PA-543 Quick Disconnect Adapter for Motorola EX500 EX560XLS EX600 PRO5150elite,29,0,0.02%,0.00%,35,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00QR3MB1K,B00QR3MB1K,Pryme PA-HLN9783 Adaptor Compatible with XPR6300 XPR6350 XPR6500 XPR6550,6,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00QR3ML6K,B00QR3ML6K,PRYME SPM-1201 Defender Premium D Ring Headset,1,1,0.00%,0.03%,1,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00R3SLXXA,B00R3SLXXA,Tactical Ear Gadgets Cougar 2-Wire Surveillance Earpiece EP4034QR for Motorola APX6000 APX4000 APX7000 XPR6550 XPR7550 XPR6350 Radio,21,1,0.02%,0.03%,22,1,0.01%,0.02%,13.64%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00RKJEUNM,B00RKJEUNM,Hawk Lapel Mic EP1323 Police Earpiece Compatible with Motorola XTS5000 XTS2500 XTS3000,50,2,0.04%,0.05%,62,2,0.04%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00S0B1TI8,B00S0B1TI8,PRYME SPM-1305 QD Quick Release Police Headset W/PTT Button for Motorola Icom Kenwood Vertex Hyt,6,0,0.00%,0.00%,8,0,0.00%,0.00%,83.33%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00S0B1U7I,B00S0B1U7I,Pryme SPM-2305 Quick Disconnect 2-Wire Earpiece,2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00SMDDZE0,B00SMDDZE0,Power Products TWC12M + 6 TWP-KW4-D 12 Unit Gang Charger for Kenwood NX200 TK2180 NX300 TK3180 NX410 TK5210 TK5220 and more,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00SMDF0MK,B00SMDF0MK,Power Products TWC6M + 6 TWP-MT2 6 Unit Bank Gang Rapid Charger for Motorola MTX9250 HT1550 HT1250LS+ MTX8250 PR860 and more,1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00SMDF4PI,B00SMDF4PI,Power Products TWC6M + 6 TWP-MT3 6 Unit Bank Gang Rapid Charger for Motorola CP200 CP200D PR400 CP150 and more,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00SMDFK8O,B00SMDFK8O,Power Products TWC6M + TWP-IC3A 6 Unit Bank Charger for Icom BP232 F4011 F3011 F3161 F4161 F3021 F4021 F3031S F4031S and more,1,1,0.00%,0.03%,1,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00SMDFOYE,B00SMDFOYE,Power Products TWC6M-HW DC CAR TWC6M-HW Hardware Kit for Single Dual 6 unit 12 unit Vehicle Charger,6,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00SMEYVH4,B00SMEYVH4,Power Products TWC12M + 6 TWP-VX7-D 12 Unit Gang Charger for Vertex VX231 EVX531 EVX534 EVX539 VX351 VX354 VX451 VX454 and more,2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00T1BOX20,B00T1BOX20,"Ear Phone Connection EP1334QR Tactical Police Lapel Headset Mic for Motorola APX6000 APX7000 XPR6550 XPR6300 XPR6350 XPR6580 and More, Black",17,2,0.01%,0.05%,24,3,0.01%,0.06%,9.09%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00TGB3XIK,B00TGB3XIK,"Pryme SPM-2203 Heavy Duty Waterproof Mic, Compatible with Motorola 2-Pin Radio",1,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0118J8COC,B0118J8COC,Tactical Ear Gadgets Quick Release Adapter EP527 for M-A/Com Harris Jaguar Radio,19,0,0.01%,0.00%,22,0,0.01%,0.00%,94.74%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B011AETP7I,B011AETP7I,Pryme EH-369SC Lookout 2.5mm Earhook Listen Only Earpiece Speaker,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B011AHFUSS,B011AHFUSS,PRYMEÂ® EH-1269SC 2.5mm D-Ring Receive Only Speaker Earpiece,1,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B011ALJ7P6,B011ALJ7P6,"Pryme EH-1389SC-25 3.5mm Acoustic Tube Listen Only Earpiece with 7"" Coiled Cord",28,1,0.02%,0.03%,33,1,0.02%,0.02%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
