ï»¿(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B08JX71XLV,B08JX71XLV,"SHEEPDOG MICROPHONES 3.5mm Threaded Listen Only Earpiece, Compatible with Motorola Audio Adapters and Shoulder Speaker Microphones, Wired, Black",783,13,0.61%,0.36%,"1,051",21,0.62%,0.44%,99.90%,100.00%,102,1,13.03%,7.69%,"$4,030.00",$30.00,98,1
B08JWMFH7X,B08JWMFH7X,"SHEEPDOG MICROPHONES 3.5mm Earhook Listen Only Earpiece for Shoulder Speaker Microphones, Wired, Black","1,241",33,0.97%,0.91%,"1,705",45,1.00%,0.93%,99.60%,100.00%,99,5,7.98%,15.15%,"$2,772.00",$140.00,94,3
B0CV6426NM,B0CV6426NM,"SHEEPDOG MICROPHONES Acoustic Tube Earpiece with Microphone, Compatible with Motorola R7, ION and MXP600, Black Cable (LMC-1AT-M20), Premium Headset","1,101",61,0.86%,1.67%,"1,588",74,0.93%,1.53%,97.36%,100.00%,243,174,22.07%,285.25%,"$14,520.00","$10,440.00",93,30
B0D5P2F2WC,B0D5P2F2WC,"SHEEPDOG MICROPHONES Cyclone Push-to-Talk (PTT) Microphone, Compatible with Motorola APX and APX Next, 32 Inch Cord, Dual-Switch Technology, 3.5mm Audio Port for Earpiece","1,532",46,1.20%,1.26%,"2,186",70,1.29%,1.45%,99.37%,100.00%,84,4,5.48%,8.70%,"$5,460.00",$260.00,84,4
B0CSDV5VDS,B0CSDV5VDS,"AWARE Accessory Pack (Includes Eartips, Clear Wire Guide, Retainer Clip)",356,7,0.28%,0.19%,535,9,0.31%,0.19%,98.48%,100.00%,79,6,22.19%,85.71%,"$1,580.00",$120.00,74,2
B0BTRPQNRZ,B0BTRPQNRZ,"SHEEPDOG MICROPHONES Alpha Quick Disconnect Police Mic, Compatible with Harris XL150P XL185 XL200P XG100P Extreme 400P Radios","1,373",37,1.07%,1.02%,"1,875",48,1.10%,1.00%,99.35%,97.06%,81,6,5.90%,16.22%,"$6,885.00",$510.00,73,4
B07GHTZ8R6,B07GHTZ8R6,Earphone Connection Fin Ultra Ambi Two Way Radio Black Medium Earpiece Eartip for Clear Acoustic Audio Tube Elbow,"1,137",29,0.89%,0.80%,"1,642",43,0.97%,0.89%,99.28%,100.00%,90,17,7.92%,58.62%,$895.50,$170.00,67,2
B0D1CVVY1K,B0DZP7WPVL,"TEKHEUTEN Wipe Holder for Kitchen/Bathroom Counter, Disinfectant Wipe Container, Modern Kitchen Decor, Vintage Countertop Wipe Storage Organizer Caddy, with Silver Finish","3,944",77,3.08%,2.11%,"4,440",85,2.61%,1.76%,100.00%,100.00%,72,0,1.83%,0.00%,"$1,799.28",$0.00,66,0
B0BVCR5TJY,B0BVCR5TJY,"SHEEPDOG MICROPHONES Surveillance PTT Microphone with 3.5mm Port, Compatible with Motorola APX6000 APX7000 APX8000, OTTO V1-11569","1,725",51,1.35%,1.40%,"2,420",65,1.42%,1.35%,99.24%,100.00%,61,3,3.54%,5.88%,"$2,928.00",$144.00,61,3
B0CV6544Y6,B0CV6544Y6,"Sheepdog Microphones Acoustic Tube Earpiece with Microphone, Compatible with Motorola N70, N50, N30, R7, ION and MXP600, Black Cable (SPM-1300-M20), Premium Headset",731,33,0.57%,0.91%,"1,035",59,0.61%,1.22%,99.02%,100.00%,118,73,16.14%,221.21%,"$7,915.00","$4,939.00",57,17
